Date,Open,High,Low,Close,Volume
11/8/2023 16:00:00,496,498,484,486,31436900
11/9/2023 16:00:00,488,494,486,494,15473300
11/10/2023 16:00:00,494,498,494,496,11064400
11/13/2023 16:00:00,498,500,496,500,7261400
11/14/2023 16:00:00,500,500,492,498,9161900
11/15/2023 16:00:00,500,505,496,498,22714600
11/16/2023 16:00:00,498,500,498,498,8712800
11/17/2023 16:00:00,500,500,494,498,6687900
11/20/2023 16:00:00,500,505,498,505,15799200
11/21/2023 16:00:00,500,505,498,500,11478700
11/22/2023 16:00:00,500,500,496,498,8929100
11/23/2023 16:00:00,498,500,498,498,8175400
11/24/2023 16:00:00,498,500,498,498,7321200
11/27/2023 16:00:00,500,505,498,500,32524600
11/28/2023 16:00:00,500,505,496,498,24543000
11/29/2023 16:00:00,500,500,496,498,19427400
11/30/2023 16:00:00,500,505,498,500,29557400
12/1/2023 16:00:00,500,500,496,498,15679400
12/4/2023 16:00:00,500,545,496,530,174440600
12/5/2023 16:00:00,535,575,530,560,136303600
12/6/2023 16:00:00,560,575,560,570,55056400
12/7/2023 16:00:00,570,570,540,550,28794700
12/8/2023 16:00:00,555,555,535,540,19113000
12/11/2023 16:00:00,540,555,530,530,23285500
12/12/2023 16:00:00,530,540,520,530,11191800
12/13/2023 16:00:00,530,565,525,550,69668500
12/14/2023 16:00:00,550,565,550,555,19420200
12/15/2023 16:00:00,560,560,540,545,15593900
12/18/2023 16:00:00,550,550,540,545,14111600
12/19/2023 16:00:00,545,560,545,555,23909000
12/20/2023 16:00:00,555,560,540,545,23238600
12/21/2023 16:00:00,545,550,530,535,18907700
12/22/2023 16:00:00,535,545,535,540,22292100
12/27/2023 16:00:00,540,545,525,525,31984800
12/28/2023 16:00:00,530,535,525,530,17058500
12/29/2023 16:00:00,530,530,520,525,35649900
1/2/2024 16:00:00,525,530,510,510,50169700
1/3/2024 16:00:00,510,525,505,525,32338200
1/4/2024 16:00:00,525,525,515,520,14319000
1/5/2024 16:00:00,520,525,515,520,18725100
1/8/2024 16:00:00,520,525,515,520,16920700
1/9/2024 16:00:00,520,525,515,520,10536300
1/10/2024 16:00:00,520,525,515,525,19621100
1/11/2024 16:00:00,520,525,515,520,15378600
1/12/2024 16:00:00,520,525,515,520,9265500
1/15/2024 16:00:00,525,530,515,525,35109900
1/16/2024 16:00:00,520,525,520,525,7447000
1/17/2024 16:00:00,525,530,520,520,17559000
1/18/2024 16:00:00,520,530,520,520,19750700
1/19/2024 16:00:00,520,520,515,515,10893000
1/22/2024 16:00:00,520,525,515,515,20903100
1/23/2024 16:00:00,515,520,500,500,32349900
1/24/2024 16:00:00,500,505,492,500,30363800
1/25/2024 16:00:00,500,510,498,505,13866200
1/26/2024 16:00:00,510,510,500,500,12032600
1/29/2024 16:00:00,500,510,498,505,17513400
1/30/2024 16:00:00,505,510,500,505,7322100
1/31/2024 16:00:00,505,510,505,510,6634000
2/1/2024 16:00:00,510,510,500,505,10975900
2/2/2024 16:00:00,505,505,500,500,13496700
2/5/2024 16:00:00,500,505,500,505,9515400
2/6/2024 16:00:00,505,505,500,500,10608000
2/7/2024 16:00:00,505,505,500,500,9649000
2/12/2024 16:00:00,500,510,498,505,21413500
2/13/2024 16:00:00,505,510,498,500,23863400
2/15/2024 16:00:00,505,525,500,520,37939300
2/16/2024 16:00:00,520,560,520,560,95911300
2/19/2024 16:00:00,560,575,540,570,85233900
2/20/2024 16:00:00,600,610,575,580,161766400
2/21/2024 16:00:00,580,605,565,600,98826700
2/22/2024 16:00:00,600,620,590,615,97879900
2/23/2024 16:00:00,615,625,610,625,62376000
2/26/2024 16:00:00,625,625,605,620,40246800
2/27/2024 16:00:00,620,630,615,620,43025100
2/28/2024 16:00:00,620,620,610,615,22448000
2/29/2024 16:00:00,615,620,600,615,42698000
3/1/2024 16:00:00,615,615,595,610,28450100
3/4/2024 16:00:00,610,630,600,620,56668100
3/5/2024 16:00:00,620,625,615,620,21136200
3/6/2024 16:00:00,620,620,600,610,29388500
3/7/2024 16:00:00,605,620,605,620,21248900
3/8/2024 16:00:00,615,625,610,625,32187100
